uuid,spot_number,shot_number,shots_in_spot,image_filename,image_width,image_height,image_quality,capture_datetime,latitude,longitude,altitude_m,altitude_accuracy_m,gps_accuracy_m,gps_reading_count,camera_pitch,camera_roll,camera_heading,municipality,barangay,farm_name,crops,temperature_c,humidity_percent,notes,device_id,capture_mode
e0356485,31,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061500_e0356485.jpg,1080,1080,1080p,2026-01-21T06:15:00.863Z,,,,,,,12,2,259,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
73cbe547,31,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061504_73cbe547.jpg,1080,1080,1080p,2026-01-21T06:15:04.569Z,,,,,,,6,-15,264,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
25a6d5ff,31,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061507_25a6d5ff.jpg,1080,1080,1080p,2026-01-21T06:15:07.619Z,,,,,,,0,34,258,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
15da2e8f,31,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061510_15da2e8f.jpg,1080,1080,1080p,2026-01-21T06:15:10.577Z,,,,,,,-5,2,264,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
051d3d52,31,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061521_051d3d52.jpg,1080,1080,1080p,2026-01-21T06:15:21.189Z,,,,,,,25,9,252,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
0beb26a7,21,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061618_0beb26a7.jpg,1080,1080,1080p,2026-01-21T06:16:18.678Z,,,,,,,4,-15,249,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
75cbd91f,21,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061621_75cbd91f.jpg,1080,1080,1080p,2026-01-21T06:16:21.781Z,,,,,,,11,4,251,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
9e6ba7a1,21,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061626_9e6ba7a1.jpg,1080,1080,1080p,2026-01-21T06:16:26.129Z,,,,,,,-5,-1,257,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
a4778bdf,21,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061629_a4778bdf.jpg,1080,1080,1080p,2026-01-21T06:16:29.667Z,,,,,,,2,41,265,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
7d2f4568,21,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061635_7d2f4568.jpg,1080,1080,1080p,2026-01-21T06:16:35.465Z,,,,,,,-8,-1,266,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1974b62c,22,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061816_1974b62c.jpg,1080,1080,1080p,2026-01-21T06:18:16.623Z,,,,,,,4,-10,256,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
67c298e0,22,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061819_67c298e0.jpg,1080,1080,1080p,2026-01-21T06:18:19.854Z,,,,,,,-1,-28,268,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
854e9ff0,22,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061830_854e9ff0.jpg,1080,1080,1080p,2026-01-21T06:18:30.214Z,,,,,,,-3,12,259,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
085a6b6b,22,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061835_085a6b6b.jpg,1080,1080,1080p,2026-01-21T06:18:35.128Z,,,,,,,-19,-2,268,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
b4d19c72,22,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_061844_b4d19c72.jpg,1080,1080,1080p,2026-01-21T06:18:44.396Z,,,,,,,4,-15,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
6df74293,32,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062013_6df74293.jpg,1080,1080,1080p,2026-01-21T06:20:13.792Z,,,,,,,6,-5,274,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
84c8f6ac,32,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062024_84c8f6ac.jpg,1080,1080,1080p,2026-01-21T06:20:24.099Z,,,,,,,4,2,276,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
132ff1f2,32,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062027_132ff1f2.jpg,1080,1080,1080p,2026-01-21T06:20:27.177Z,,,,,,,-1,28,281,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1cdc9903,32,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062030_1cdc9903.jpg,1080,1080,1080p,2026-01-21T06:20:30.330Z,,,,,,,-25,2,282,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
39ade3f8,32,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062034_39ade3f8.jpg,1080,1080,1080p,2026-01-21T06:20:34.573Z,,,,,,,1,1,275,La Trinidad,Balili,BSU Back,tomato,,,,TECNO_TECNO_CM8_DF2CAC,controlled
a7a16d7b,30,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062111_a7a16d7b.jpg,1080,1080,1080p,2026-01-21T06:21:11.898Z,,,,,,,-1,-14,278,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
4415d5fc,30,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062115_4415d5fc.jpg,1080,1080,1080p,2026-01-21T06:21:15.329Z,,,,,,,-3,27,269,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
9629928b,30,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062121_9629928b.jpg,1080,1080,1080p,2026-01-21T06:21:21.023Z,,,,,,,4,-6,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
59b0027b,30,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062124_59b0027b.jpg,1080,1080,1080p,2026-01-21T06:21:24.020Z,,,,,,,16,-7,273,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
71eaad38,30,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062127_71eaad38.jpg,1080,1080,1080p,2026-01-21T06:21:27.256Z,,,,,,,18,-12,274,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
5f4c56d2,43,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062145_5f4c56d2.jpg,1080,1080,1080p,2026-01-21T06:21:45.844Z,,,,,,,4,-24,267,La Trinidad,Balili,BSU Back,corn,,,,TECNO_TECNO_CM8_DF2CAC,controlled
976fb6ba,43,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062148_976fb6ba.jpg,1080,1080,1080p,2026-01-21T06:21:48.552Z,,,,,,,4,22,262,La Trinidad,Balili,BSU Back,corn,,,,TECNO_TECNO_CM8_DF2CAC,controlled
9f0573e1,43,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062151_9f0573e1.jpg,1080,1080,1080p,2026-01-21T06:21:51.430Z,,,,,,,15,-8,262,La Trinidad,Balili,BSU Back,corn,,,,TECNO_TECNO_CM8_DF2CAC,controlled
ef4c28ff,43,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062154_ef4c28ff.jpg,1080,1080,1080p,2026-01-21T06:21:54.159Z,,,,,,,-7,-11,266,La Trinidad,Balili,BSU Back,corn,,,,TECNO_TECNO_CM8_DF2CAC,controlled
7ba3ea1b,43,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062157_7ba3ea1b.jpg,1080,1080,1080p,2026-01-21T06:21:57.024Z,,,,,,,-32,-15,268,La Trinidad,Balili,BSU Back,corn,,,,TECNO_TECNO_CM8_DF2CAC,controlled
2d22b158,49,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062242_2d22b158.jpg,1080,1080,1080p,2026-01-21T06:22:42.229Z,,,,,,,11,7,265,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
e1bd971f,49,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062245_e1bd971f.jpg,1080,1080,1080p,2026-01-21T06:22:45.041Z,,,,,,,21,2,261,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
fc67023d,49,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062251_fc67023d.jpg,1080,1080,1080p,2026-01-21T06:22:51.977Z,,,,,,,-27,-8,273,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
8d9f6fa3,49,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062256_8d9f6fa3.jpg,1080,1080,1080p,2026-01-21T06:22:56.583Z,,,,,,,0,27,269,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
49249862,49,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062303_49249862.jpg,1080,1080,1080p,2026-01-21T06:23:03.391Z,,,,,,,4,-3,273,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
0aa6d847,37,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062414_0aa6d847.jpg,1080,1080,1080p,2026-01-21T06:24:14.552Z,,,,,,,0,-13,283,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
6f75f99b,37,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062417_6f75f99b.jpg,1080,1080,1080p,2026-01-21T06:24:17.567Z,,,,,,,15,5,280,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
e091dc81,37,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062420_e091dc81.jpg,1080,1080,1080p,2026-01-21T06:24:20.591Z,,,,,,,0,34,278,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
20eb39eb,37,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062423_20eb39eb.jpg,1080,1080,1080p,2026-01-21T06:24:23.546Z,,,,,,,-22,8,287,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
c7c9248b,37,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062426_c7c9248b.jpg,1080,1080,1080p,2026-01-21T06:24:26.976Z,,,,,,,6,-14,278,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
f3c81021,48,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062454_f3c81021.jpg,1080,1080,1080p,2026-01-21T06:24:54.685Z,,,,,,,0,-22,295,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
e4ac55f9,48,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062458_e4ac55f9.jpg,1080,1080,1080p,2026-01-21T06:24:58.710Z,,,,,,,12,-1,280,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
55c28fca,48,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062502_55c28fca.jpg,1080,1080,1080p,2026-01-21T06:25:02.012Z,,,,,,,-26,2,284,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
cfa47ba8,48,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062505_cfa47ba8.jpg,1080,1080,1080p,2026-01-21T06:25:05.735Z,,,,,,,1,29,289,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
a82d3306,39,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062615_a82d3306.jpg,1080,1080,1080p,2026-01-21T06:26:15.043Z,,,,,,,9,4,276,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
c0a7905d,39,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062618_c0a7905d.jpg,1080,1080,1080p,2026-01-21T06:26:18.610Z,,,,,,,-16,3,279,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
8d1ee330,39,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062622_8d1ee330.jpg,1080,1080,1080p,2026-01-21T06:26:22.098Z,,,,,,,-1,30,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
8d90a2a1,39,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062625_8d90a2a1.jpg,1080,1080,1080p,2026-01-21T06:26:25.690Z,,,,,,,-4,-22,276,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
284c81ef,39,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062636_284c81ef.jpg,1080,1080,1080p,2026-01-21T06:26:36.018Z,,,,,,,8,1,271,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
06c7f03f,47,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062715_06c7f03f.jpg,1080,1080,1080p,2026-01-21T06:27:15.079Z,,,,,,,22,-2,266,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1b6197a0,47,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062718_1b6197a0.jpg,1080,1080,1080p,2026-01-21T06:27:18.664Z,,,,,,,3,31,262,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
f965e91f,47,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062722_f965e91f.jpg,1080,1080,1080p,2026-01-21T06:27:22.338Z,,,,,,,-18,33,285,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
19dbcbf3,47,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062726_19dbcbf3.jpg,1080,1080,1080p,2026-01-21T06:27:26.102Z,,,,,,,-5,-22,280,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1ae72cea,47,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062738_1ae72cea.jpg,1080,1080,1080p,2026-01-21T06:27:38.342Z,,,,,,,14,2,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
a79e2740,55,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062850_a79e2740.jpg,1080,1080,1080p,2026-01-21T06:28:50.874Z,,,,,,,4,-4,280,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
7e187c6f,55,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062854_7e187c6f.jpg,1080,1080,1080p,2026-01-21T06:28:54.833Z,,,,,,,-4,-29,285,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
88f86b32,55,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062858_88f86b32.jpg,1080,1080,1080p,2026-01-21T06:28:58.878Z,,,,,,,21,-3,273,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
08b1cd14,55,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062902_08b1cd14.jpg,1080,1080,1080p,2026-01-21T06:29:02.803Z,,,,,,,-26,4,277,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
a1f200bb,55,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_062907_a1f200bb.jpg,1080,1080,1080p,2026-01-21T06:29:07.578Z,,,,,,,5,-1,277,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
594c0fcc,53,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063005_594c0fcc.jpg,1080,1080,1080p,2026-01-21T06:30:05.392Z,,,,,,,-1,-16,301,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
4b4a83d6,53,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063009_4b4a83d6.jpg,1080,1080,1080p,2026-01-21T06:30:09.550Z,,,,,,,-1,22,301,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
1b84e5fb,53,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063013_1b84e5fb.jpg,1080,1080,1080p,2026-01-21T06:30:13.628Z,,,,,,,-32,0,315,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
dd2e5e62,53,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063017_dd2e5e62.jpg,1080,1080,1080p,2026-01-21T06:30:17.750Z,,,,,,,18,18,292,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
80fb8803,53,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063027_80fb8803.jpg,1080,1080,1080p,2026-01-21T06:30:27.483Z,,,,,,,-6,-2,310,La Trinidad,Balili,BSU Back,broccoli,,,,TECNO_TECNO_CM8_DF2CAC,controlled
ecedb774,38,1,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063116_ecedb774.jpg,1080,1080,1080p,2026-01-21T06:31:16.266Z,,,,,,,-2,31,263,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
525f8879,38,2,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063120_525f8879.jpg,1080,1080,1080p,2026-01-21T06:31:20.727Z,,,,,,,-6,-31,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
8b079d5c,38,3,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063125_8b079d5c.jpg,1080,1080,1080p,2026-01-21T06:31:25.016Z,,,,,,,17,-4,264,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
333d5cd6,38,4,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063130_333d5cd6.jpg,1080,1080,1080p,2026-01-21T06:31:30.404Z,,,,,,,-23,9,234,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
f9c6f5f5,38,5,5,images/2026/01/21/latrinidad_balili_bsuback_20260121_063136_f9c6f5f5.jpg,1080,1080,1080p,2026-01-21T06:31:36.238Z,,,,,,,10,2,272,La Trinidad,Balili,BSU Back,custom_follow_through,,,,TECNO_TECNO_CM8_DF2CAC,controlled
